codigo_formateado;Descripcion;tipo;tipo_material;acabado;color_real;longitud;Stock;Pedidos
554002.376;Marco 64 Euro-Design 60 Blanco Pres. 5,8 m.;Marco;Euro-Design 60;Blanco;Blanco;5.8;0.0;0.0
564002.153;Marco 64 Euro-Design 60 Mar-Rob/Rob Pres. 5,8 m.;Marco;Euro-Design 60;Rob;Roble;5.8;0.0;0.0
564002.131;Marco 64 Euro-Design 60 Bco-Bco/Rob Pres. 5,8 m.;Marco;Euro-Design 60;Rob;Roble;5.8;0.0;0.0
564002.130;Marco 64 Euro-Design 60 Bco-Rob/Bco Pres. 5,8 m.;Marco;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564002.133;Marco 64 Euro-Design 60 Mar-Ant L/Ant L Pres. 5,8 m.;Marco;Euro-Design 60;Ant L;Ant L;5.8;0.0;0.0
564002.135;Marco 64 Euro-Design 60 Bco-Bco/Ant L Pres. 5,8 m.;Marco;Euro-Design 60;Ant L;Ant L;5.8;0.0;0.0
564002.134;Marco 64 Euro-Design 60 Bco-Ant L/Bco Pres. 5,8 m.;Marco;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564002.138;Marco 64 Euro-Design 60 Mar-B.Brow/B.Brow Pres. 5,8 m.;Marco;Euro-Design 60;BBrow;BBrow;5.8;0.0;0.0
564002.127;Marco 64 Euro-Design 60 Bco-Bco/B.Brow Pres. 5,8 m.;Marco;Euro-Design 60;BBrow;BBrow;5.8;0.0;0.0
564002.126;Marco 64 Euro-Design 60 Bco-B.Brow/Bco Pres. 5,8 m.;Marco;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564002.158;Marco 64 Euro-Design 60 Mar-Nog/Nog Pres. 5,8 m.;Marco;Euro-Design 60;Nog;Nogal;5.8;0.0;0.0
564002.129;Marco 64 Euro-Design 60 Bco-Bco/Nog Pres. 5,8 m.;Marco;Euro-Design 60;Nog;Nogal;5.8;0.0;0.0
564002.128;Marco 64 Euro-Design 60 Bco-Nog/Bco Pres. 5,8 m.;Marco;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564002.161;Marco 64 Euro-Design 60 Mar-Win/Win Pres. 5,8 m.;Marco;Euro-Design 60;Win;Winchester;5.8;0.0;0.0
564002.124;Marco 64 Euro-Design 60 Bco-Bco/Win Pres. 5,8 m.;Marco;Euro-Design 60;Win;Winchester;5.8;0.0;0.0
564002.122;Marco 64 Euro-Design 60 Bco-Win/Bco Pres. 5,8 m.;Marco;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564002.154;Marco 64 Euro-Design 60 Mar-Mon/Mon Pres. 5,8 m.;Marco;Euro-Design 60;Mon;Monument;5.8;0.0;0.0
564002.080;Marco 64 Euro-Design 60 Bco-Bco/Mon Pres. 5,8 m.;Marco;Euro-Design 60;Mon;Monument;5.8;0.0;0.0
564002.082;Marco 64 Euro-Design 60 Bco-Mon/Bco Pres. 5,8 m.;Marco;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564002.089;Marco 64 Euro-Design 60 Mar-Negro M./Negro M. Pres. 5,8 m.;Marco;Euro-Design 60;Negro M;Negro M;5.8;27.0;0.0
564002.090;Marco 64 Euro-Design 60 Bco-Bco/Negro M. Pres. 5,8 m.;Marco;Euro-Design 60;Negro M;Negro M;5.8;0.0;0.0
564002.091;Marco 64 Euro-Design 60 Bco-Negro M./Bco Pres. 5,8 m.;Marco;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564002.155;Marco 64 Euro-Design 60 Mar-Turn/Turn Pres. 5,8 m.;Marco;Euro-Design 60;Turn;Turner;5.8;0.0;0.0
564002.103;Marco 64 Euro-Design 60 Bco-Bco/Turn Pres. 5,8 m.;Marco;Euro-Design 60;Turn;Turner;5.8;0.0;0.0
564002.104;Marco 64 Euro-Design 60 Bco-Turn/Bco Pres. 5,8 m.;Marco;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564002.105;Marco 64 Euro-Design 60 Bco-Sheff A./Sheff A. Pres. 5,8 m.;Marco;Euro-Design 60;Sheff A;Sheffield;5.8;0.0;0.0
564002.101;Marco 64 Euro-Design 60 Bco-Bco/Sheff A. Pres. 5,8 m.;Marco;Euro-Design 60;Sheff A;Sheffield;5.8;0.0;0.0
564002.102;Marco 64 Euro-Design 60 Bco-Sheff A./Bco Pres. 5,8 m.;Marco;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564002.156;Marco 64 Euro-Design 60 Mar-Hab/Hab Pres. 5,8 m.;Marco;Euro-Design 60;Hab;Habano;5.8;0.0;0.0
564002.113;Marco 64 Euro-Design 60 Bco-Bco/Hab Pres. 5,8 m.;Marco;Euro-Design 60;Hab;Habano;5.8;0.0;0.0
564002.114;Marco 64 Euro-Design 60 Bco-Hab/Bco Pres. 5,8 m.;Marco;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564002.157;Marco 64 Euro-Design 60 Mar-Tit/Tit Pres. 5,8 m.;Marco;Euro-Design 60;Tit;Titanium;5.8;0.0;0.0
564002.111;Marco 64 Euro-Design 60 Bco-Bco/Tit Pres. 5,8 m.;Marco;Euro-Design 60;Tit;Titanium;5.8;0.0;0.0
564002.112;Marco 64 Euro-Design 60 Bco-Tit/Bco Pres. 5,8 m.;Marco;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564002.178;Marco 64 Euro-Design 60 Mar-Ant M/Ant M Pres. 5,8 m.;Marco;Euro-Design 60;Ant M;Ant M;5.8;1.0;0.0
564002.179;Marco 64 Euro-Design 60 Bco-Bco/Ant M Pres. 5,8 m.;Marco;Euro-Design 60;Ant M;Ant M;5.8;0.0;0.0
564002.180;Marco 64 Euro-Design 60 Bco-Ant M/Bco Pres. 5,8 m.;Marco;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564002.181;Marco 64 Euro-Design 60 Mar-Black S/Black S Pres. 5,8 m.;Marco;Euro-Design 60;Black S;Black S;5.8;1.0;0.0
564002.182;Marco 64 Euro-Design 60 Bco-Bco/Black S Pres. 5,8 m.;Marco;Euro-Design 60;Black S;Black S;5.8;0.0;0.0
564002.184;Marco 64 Euro-Design 60 Bco-Black S/Bco Pres. 5,8 m.;Marco;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564002.172;Marco 64 Euro-Design 60 Mar-Nut/Nut Pres. 5,8 m.;Marco;Euro-Design 60;Nut;Nutmeg;5.8;0.0;0.0
564002.173;Marco 64 Euro-Design 60 Bco-Bco/Nut Pres. 5,8 m.;Marco;Euro-Design 60;Nut;Nutmeg;5.8;0.0;0.0
564002.174;Marco 64 Euro-Design 60 Bco-Nut/Bco Pres. 5,8 m.;Marco;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564002.175;Marco 64 Euro-Design 60 Mar-Qrz/Qrz Pres. 5,8 m.;Marco;Euro-Design 60;Qrz;Qrz;5.8;0.0;0.0
564002.176;Marco 64 Euro-Design 60 Bco-Bco/Qrz Pres. 5,8 m.;Marco;Euro-Design 60;Qrz;Qrz;5.8;0.0;0.0
564002.177;Marco 64 Euro-Design 60 Bco-Qrz/Bco Pres. 5,8 m.;Marco;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
554022.376;Poste/Travesano 78 Euro-Design 60 Blanco Pres. 5,8 m.;;Euro-Design 60;Blanco;Blanco;5.8;17.0;0.0
564022.095;Poste/Travesano 78 Euro-Design 60 Mar-Rob/Rob Pres. 5,8 m.;;Euro-Design 60;Rob;Roble;5.8;8.0;0.0
564022.097;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Rob Pres. 5,8 m.;;Euro-Design 60;Rob;Roble;5.8;0.0;0.0
564022.081;Poste/Travesano 78 Euro-Design 60 Bco-Rob/Bco Pres. 5,8 m.;;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564022.098;Poste/Travesano 78 Euro-Design 60 Mar-Ant L/Ant L Pres. 5,8 m.;;Euro-Design 60;Ant L;Ant L;5.8;0.0;0.0
564022.087;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Ant L Pres. 5,8 m.;;Euro-Design 60;Ant L;Ant L;5.8;0.0;0.0
564022.086;Poste/Travesano 78 Euro-Design 60 Bco-Ant L/Bco Pres. 5,8 m.;;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564022.083;Poste/Travesano 78 Euro-Design 60 Mar-B.Brow/B.Brow Pres. 5,8 m.;;Euro-Design 60;BBrow;BBrow;5.8;0.0;0.0
564022.085;Poste/Travesano 78 Euro-Design 60 Bco-Bco/B.Brow Pres. 5,8 m.;;Euro-Design 60;BBrow;BBrow;5.8;0.0;0.0
564022.084;Poste/Travesano 78 Euro-Design 60 Bco-B.Brow/Bco Pres. 5,8 m.;;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564022.096;Poste/Travesano 78 Euro-Design 60 Mar-Nog/Nog Pres. 5,8 m.;;Euro-Design 60;Nog;Nogal;5.8;0.0;0.0
564022.080;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Nog Pres. 5,8 m.;;Euro-Design 60;Nog;Nogal;5.8;0.0;0.0
564022.079;Poste/Travesano 78 Euro-Design 60 Bco-Nog/Bco Pres. 5,8 m.;;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564022.099;Poste/Travesano 78 Euro-Design 60 Mar-Win/Win Pres. 5,8 m.;;Euro-Design 60;Win;Winchester;5.8;0.0;0.0
564022.078;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Win Pres. 5,8 m.;;Euro-Design 60;Win;Winchester;5.8;0.0;0.0
564022.077;Poste/Travesano 78 Euro-Design 60 Bco-Win/Bco Pres. 5,8 m.;;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564022.100;Poste/Travesano 78 Euro-Design 60 Mar-Mon/Mon Pres. 5,8 m.;;Euro-Design 60;Mon;Monument;5.8;0.0;0.0
564022.047;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Mon Pres. 5,8 m.;;Euro-Design 60;Mon;Monument;5.8;0.0;0.0
564022.046;Poste/Travesano 78 Euro-Design 60 Bco-Mon/Bco Pres. 5,8 m.;;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564022.101;Poste/Travesano 78 Euro-Design 60 Mar-Negro M./Negro M. Pres. 5,8 m.;;Euro-Design 60;Negro M;Negro M;5.8;0.0;0.0
564022.053;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Negro M. Pres. 5,8 m.;;Euro-Design 60;Negro M;Negro M;5.8;0.0;0.0
564022.054;Poste/Travesano 78 Euro-Design 60 Bco-Negro M./Bco Pres. 5,8 m.;;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564022.102;Poste/Travesano 78 Euro-Design 60 Mar-Turn/Turn Pres. 5,8 m.;;Euro-Design 60;Turn;Turner;5.8;0.0;0.0
564022.061;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Turn Pres. 5,8 m.;;Euro-Design 60;Turn;Turner;5.8;0.0;0.0
564022.062;Poste/Travesano 78 Euro-Design 60 Bco-Turn/Bco Pres. 5,8 m.;;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564022.063;Poste/Travesano 78 Euro-Design 60 Bco-Sheff A./Sheff A. Pres. 5,8 m.;;Euro-Design 60;Sheff A;Sheffield;5.8;0.0;0.0
564022.059;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Sheff A. Pres. 5,8 m.;;Euro-Design 60;Sheff A;Sheffield;5.8;0.0;0.0
564022.060;Poste/Travesano 78 Euro-Design 60 Bco-Sheff A./Bco Pres. 5,8 m.;;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564022.103;Poste/Travesano 78 Euro-Design 60 Mar-Hab/Hab M. Pres. 5,8 m.;;Euro-Design 60;Hab M;Habano;5.8;0.0;0.0
564022.069;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Hab Pres. 5,8 m.;;Euro-Design 60;Hab;Habano;5.8;0.0;0.0
564022.070;Poste/Travesano 78 Euro-Design 60 Bco-Hab/Bco Pres. 5,8 m.;;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
