codigo;descripcion;tipo;linea;acabado;color_real;longitud;stock;pedidos
554002.376;Marco 64 Euro-Design 60 Blanco Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Blanco;Euro-Design 60 Blanco;5.8;0.0;0.0
564002.153;Marco 64 Euro-Design 60 Mar-Rob/Rob Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Mar-Rob/Rob;Roble;5.8;0.0;0.0
564002.131;Marco 64 Euro-Design 60 Bco-Bco/Rob Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Bco/Rob;Roble;5.8;0.0;0.0
564002.130;Marco 64 Euro-Design 60 Bco-Rob/Bco Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Rob/Bco;Roble;5.8;0.0;0.0
564002.133;Marco 64 Euro-Design 60 Mar-Ant L/Ant L Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Mar-Ant L/Ant L;Ant L;5.8;0.0;0.0
564002.135;Marco 64 Euro-Design 60 Bco-Bco/Ant L Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Bco/Ant L;Ant L;5.8;0.0;0.0
564002.134;Marco 64 Euro-Design 60 Bco-Ant L/Bco Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Ant L/Bco;Ant L;5.8;0.0;0.0
564002.138;Marco 64 Euro-Design 60 Mar-B.Brow/B.Brow Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Mar-B.Brow/B.Brow;Black Brown;5.8;0.0;0.0
564002.127;Marco 64 Euro-Design 60 Bco-Bco/B.Brow Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Bco/B.Brow;Black Brown;5.8;0.0;0.0
564002.126;Marco 64 Euro-Design 60 Bco-B.Brow/Bco Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-B.Brow/Bco;Black Brown;5.8;0.0;0.0
564002.158;Marco 64 Euro-Design 60 Mar-Nog/Nog Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Mar-Nog/Nog;Nogal;5.8;0.0;0.0
564002.129;Marco 64 Euro-Design 60 Bco-Bco/Nog Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Bco/Nog;Nogal;5.8;0.0;0.0
564002.128;Marco 64 Euro-Design 60 Bco-Nog/Bco Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Nog/Bco;Nogal;5.8;0.0;0.0
564002.161;Marco 64 Euro-Design 60 Mar-Win/Win Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Mar-Win/Win;Winchester;5.8;0.0;0.0
564002.124;Marco 64 Euro-Design 60 Bco-Bco/Win Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Bco/Win;Winchester;5.8;0.0;0.0
564002.122;Marco 64 Euro-Design 60 Bco-Win/Bco Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Win/Bco;Winchester;5.8;0.0;0.0
564002.154;Marco 64 Euro-Design 60 Mar-Mon/Mon Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Mar-Mon/Mon;Monument;5.8;0.0;0.0
564002.080;Marco 64 Euro-Design 60 Bco-Bco/Mon Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Bco/Mon;Monument;5.8;0.0;0.0
564002.082;Marco 64 Euro-Design 60 Bco-Mon/Bco Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Mon/Bco;Monument;5.8;0.0;0.0
564002.089;Marco 64 Euro-Design 60 Mar-Negro M./Negro M. Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Mar-Negro M./Negro M.;Euro-Design 60 Mar-Negro M./Negro M.;5.8;27.0;0.0
564002.090;Marco 64 Euro-Design 60 Bco-Bco/Negro M. Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Bco/Negro M.;Blanco;5.8;0.0;0.0
564002.091;Marco 64 Euro-Design 60 Bco-Negro M./Bco Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Negro M./Bco;Blanco;5.8;0.0;0.0
564002.155;Marco 64 Euro-Design 60 Mar-Turn/Turn Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Mar-Turn/Turn;Turner;5.8;0.0;0.0
564002.103;Marco 64 Euro-Design 60 Bco-Bco/Turn Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Bco/Turn;Turner;5.8;0.0;0.0
564002.104;Marco 64 Euro-Design 60 Bco-Turn/Bco Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Turn/Bco;Turner;5.8;0.0;0.0
564002.105;Marco 64 Euro-Design 60 Bco-Sheff A./Sheff A. Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Sheff A./Sheff A.;Sheffield;5.8;0.0;0.0
564002.101;Marco 64 Euro-Design 60 Bco-Bco/Sheff A. Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Bco/Sheff A.;Sheffield;5.8;0.0;0.0
564002.102;Marco 64 Euro-Design 60 Bco-Sheff A./Bco Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Sheff A./Bco;Sheffield;5.8;0.0;0.0
564002.156;Marco 64 Euro-Design 60 Mar-Hab/Hab Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Mar-Hab/Hab;Habano;5.8;0.0;0.0
564002.113;Marco 64 Euro-Design 60 Bco-Bco/Hab Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Bco/Hab;Habano;5.8;0.0;0.0
564002.114;Marco 64 Euro-Design 60 Bco-Hab/Bco Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Hab/Bco;Habano;5.8;0.0;0.0
