// Actualizar la lógica de extracción para que el campo 'línea' solo contenga uno de los siguientes valores exactos:
// 'Euro Design 60', 'Euro Design Slide', 'High Design Slide', 'Synego'.
// Si no se encuentra ninguna coincidencia exacta, dejar el campo vacío para revisión manual.
// Lógica mejorada: Buscar la línea real (de las permitidas) en la descripción, y luego extraer el color como el texto entre la línea y la palabra 'Pres'. Si no hay línea real, dejar el campo vacío.
codigo;descripcion;tipo;linea;acabado;color_real;longitud;stock;pedidos
564.022.124;Poste/Travesano 78Euro-Design60Bco-Ant M/BcoPres.5,8m.;Poste/Travesano 78;Euro Design 60;Bco-Ant M/Bco;Ant M;5.8;0.0;0.0
564.022.127;Poste/Travesano 78Euro-Design60Bco-Black S/BcoPres.5,8m.;Poste/Travesano 78;Euro Design 60;Bco-Black S/Bco;Black S;5.8;0.0;0.0
564.022.112;Poste/Travesano 78Euro-Design60Bco-Nut/BcoPres.5,8m.;Poste/Travesano 78;Euro Design 60;Bco-Nut/Bco;Nut;5.8;0.0;0.0
564.022.120;Poste/Travesano 78Euro-Design60Bco-Qrz/BcoPres.5,8m.;Poste/Travesano 78;Euro Design 60;Bco-Qrz/Bco;Qrz;5.8;0.0;0.0
500.616.001;Perfil mosquitero fijo\Contramarco 29 mm Blanco 5,8 m.;Perfil mosquitero fijo\Contramarco;29 mm;Blanco;Blanco;5.8;0.0;0.0
500.929.032;Perfil mosquitero Fijo Bco-Ant M  Pres. 5,8 m.;Perfil mosquitero Fijo;Mosquitero;Bco-Ant M;Ant M;5.8;0.0;0.0
500.929.033;Perfil mosquitero Fijo Bco-Black S  Pres. 5,8 m.;Perfil mosquitero Fijo;Mosquitero;Bco-Black S;Black S;5.8;0.0;0.0
500.929.030;Perfil mosquitero Fijo Bco-Nut  Pres. 5,8 m.;Perfil mosquitero Fijo;Mosquitero;Bco-Nut;Nut;5.8;0.0;0.0
500.929.031;Perfil mosquitero Fijo Bco-Qrz  Pres. 5,8 m.;Perfil mosquitero Fijo;Mosquitero;Bco-Qrz;Qrz;5.8;0.0;0.0
954.205.002;Kit union esquina soldable Euro-Design 60 Pres. 1 u.;Kit union esquina soldable;Euro-Design 60;;;1;0.0;0.0
255.377.001;Tornillo M6 x 80 mm DIN 912(ISO 4762) Pres. 50 u.;Tornillo M;;;;80;0.0;0.0
337.004.001;Kit pivotante puerta derecha Euro-Design 60 Pres. 1 u.- PRECIO NETO;Kit pivotante puerta derecha;Euro-Design 60;;;1;0.0;0.0
337.005.001;Kit pivotante puerta izquierda Euro-Design 60 Pres. 1 u.- PRECIO NETO;Kit pivotante puerta izquierda;Euro-Design 60;;;1;0.0;0.0
591.013.068;Marco 2 Euro-Design Slide Bco-Bco/Ant LPres. 5,8 m.;Marco 2;Euro-Design Slide;Bco-Bco/Ant L;Ant L;5.8;0.0;0.0
510.353.088;Travesano N1Euro-Design Slide Mar-Ant M/ Ant M Pres. 5,8m.;Travesano N1;Euro-Design Slide;Mar-Ant M/Ant M;Ant M;5.8;0.0;0.0
500.333.100;Remate central mosquitero (PVC) Euro-Design Slide Blanco Pres. 5,8 m.;Remate central mosquitero (PVC);Euro-Design Slide;Blanco;Blanco;5.8;0.0;0.0
326.211.001;Remate central 3 (Aluminio) EX Exelis Slide Blanco Pres. 4,8 m.- PRECIO NETO;Remate central 3 (Aluminio);EX Exelis Slide;Blanco;Blanco;4.8;0.0;0.0
221.841.001;Remate central 3 (Aluminio) Euro-Design Slide Blanco Pres. 4,8 m.;Remate central 3 (Aluminio);Euro-Design Slide;Blanco;Blanco;4.8;0.0;0.0
221.841.002;Remate central 3 (Aluminio) Euro-Design Slide Aluminio Pres. 4,8 m.;Remate central 3 (Aluminio);Euro-Design Slide;Aluminio;Aluminio;4.8;0.0;0.0
500.313.300;Perfil mosquitero (PVC) Euro-Design Slide Blanco Pres. 5,8 m.;Perfil mosquitero (PVC);Euro-Design Slide;Blanco;Blanco;5.8;0.0;0.0
510.393.010;Hoja T79 Apert. exterior Euro-Design 60 Bco-Bco/Rob Pres. 5,8 m.;Hoja T79 Apert. exterior;Euro Design 60;Bco-Bco/Rob;Rob;5.8;0.0;0.0
510.393.011;Hoja T79 Apert. exterior Euro-Design 60 Bco-Rob/Bco Pres. 5,8 m.;Hoja T79 Apert. exterior;Euro Design 60;Bco-Rob/Bco;Rob;5.8;0.0;0.0
510.393.056;Hoja T79 Apert. exterior Euro-Design 60 Mar-Ant L/Ant L Pres. 5,8 m.;Hoja T79 Apert. exterior;Euro Design 60;Mar-Ant L/Ant L;Ant L;5.8;0.0;0.0
510.393.057;Hoja T79 Apert. exterior Euro-Design 60 Bco-Bco/Ant L Pres. 5,8 m.;Hoja T79 Apert. exterior;Euro Design 60;Bco-Bco/Ant L;Ant L;5.8;0.0;0.0
510.393.058;Hoja T79 Apert. exterior Euro-Design 60 Bco-Ant L/Bco Pres. 5,8 m.;Hoja T79 Apert. exterior;Euro Design 60;Bco-Ant L/Bco;Ant L;5.8;0.0;0.0
510.393.348;Hoja T79 Apert. exterior Euro-Desing 60 Mar-B.Brow/B.Brow Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-B.Brow/B.Brow;5.8
510.393.016;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/B.Brow Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/B.Brow;5.8
510.393.017;Hoja T79 Apert. exterior Euro-Desing 60 Bco-B.Brow/Bco Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-B.Brow/Bco;5.8
510.393.267;Hoja T79 Apert. exterior Euro-Desing 60 Mar-Nog/Nog Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Nog/Nog;5.8
510.393.337;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Nog Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Nog;6
510.393.018;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Nog/Bco Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Nog/Bco;5.8
510.393.005;Hoja T79 Apert. exterior Euro-Desing 60 Mar-Win/Win Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Win/Win;5.8
510.393.022;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Win Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Win;5.8
510.393.023;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Win/Bco Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Win/Bco;5.8
510.393.264;Hoja T79 Apert. exterior Euro-Desing 60 Mar-Mon/Mon Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Mon/Mon;5.8
510.393.024;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Mon Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Mon;5.8
510.393.025;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Mon/Bco Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Mon/Bco;5.8
510.393.006;Hoja T79 Apert. exterior Euro-Desing 60 Mar-Negro M./Negro M. Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Negro M./Negro M.;5.8
510.393.026;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Negro M. Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Negro M.;5.8
510.393.028;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Negro M./Bco Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Negro M./Bco;5.8
510.393.007;Hoja T79 Apert. exterior Euro-Desing 60 Mar-Turn/Turn Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Turn/Turn;5.8
510.393.029;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Turn Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Turn;5.8
510.393.030;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Turn/Bco Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Turn/Bco;5.8
510.393.031;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Sheff A./Sheff A. Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Sheff A./Sheff A.;5.8
510.393.032;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Sheff A. Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Sheff A.;5.8
510.393.033;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Sheff A./Bco Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Sheff A./Bco;5.8
510.393.008;Hoja T79 Apert. exterior Euro-Desing 60 Mar-Hab/Hab Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Hab/Hab;5.8
510.393.034;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Hab Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Hab;5.8
510.393.035;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Hab/Bco Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Hab/Bco;5.8
510.393.009;Hoja T79 Apert. exterior Euro-Desing 60 Mar-Tit/Tit Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Tit/Tit;5.8
510.393.036;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Tit Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Tit;5.8
