id;codigo;descripcion;tipo;acabado;numero;vs;proveedor;longitud;ancho;alto;necesarias;stock;faltan;ped_min;emba;pedido;importe;qr;nombre;tipo_material;unidad;stock_actual;stock_minimo;ubicacion;imagen_referencia
1;554.002.376;Marco 64 Euro-Design 60 Blanco Pres. 5,8 m.;Marco;;;;;5.8;;;0;5.0;0;0;;;0;QR-554.002.376;Material importado;Euro-Design 60;unidad;5.0;0;;
2;564.002.153;Marco 64 Euro-Design 60 Mar-Rob/Rob Pres. 5,8 m.;Marco;Mar-Rob/Rob;;;;5.8;;;0;0.0;0;0;;;0;QR-564.002.153;Material importado;Euro-Design 60;unidad;0.0;0;;
3;564.002.131;Marco 64 Euro-Design 60 Bco-Bco/Rob Pres. 5,8 m.;Marco;Bco-Bco/Rob;;;;5.8;;;0;;0;0;;;0;QR-564.002.131;Material importado;Euro-Design 60;unidad;;0;;
4;564.002.130;Marco 64 Euro-Design 60 Bco-Rob/Bco Pres. 5,8 m.;Marco;Bco-Rob/Bco;;;;5.8;;;0;;0;0;;;0;QR-564.002.130;Material importado;Euro-Design 60;unidad;;0;;
5;564.002.133;Marco 64 Euro-Design 60 Mar-Ant L/Ant L Pres. 5,8 m.;Marco;;;;;5.8;;;0;16.0;0;0;;;0;QR-564.002.133;Material importado;Euro-Design 60;unidad;16.0;0;;
6;564.002.135;Marco 64 Euro-Design 60 Bco-Bco/Ant L Pres. 5,8 m.;Marco;Bco-Bco/Ant;;;;5.8;;;0;;0;0;;;0;QR-564.002.135;Material importado;Euro-Design 60;unidad;;0;;
7;564.002.134;Marco 64 Euro-Design 60 Bco-Ant L/Bco Pres. 5,8 m.;Marco;;;;;5.8;;;0;;0;0;;;0;QR-564.002.134;Material importado;Euro-Design 60;unidad;;0;;
8;564.002.138;Marco 64 Euro-Design 60 Mar-B.Brow/B.Brow Pres. 5,8 m.;Marco;;;;;5.8;;;0;;0;0;;;0;QR-564.002.138;Material importado;Euro-Design 60;unidad;;0;;
9;564.002.127;Marco 64 Euro-Design 60 Bco-Bco/B.Brow Pres. 5,8 m.;Marco;Bco-Bco/B;;;;5.8;;;0;;0;0;;;0;QR-564.002.127;Material importado;Euro-Design 60;unidad;;0;;
10;564.002.126;Marco 64 Euro-Design 60 Bco-B.Brow/Bco Pres. 5,8 m.;Marco;;;;;5.8;;;0;;0;0;;;0;QR-564.002.126;Material importado;Euro-Design 60;unidad;;0;;
11;564.002.158;Marco 64 Euro-Design 60 Mar-Nog/Nog Pres. 5,8 m.;Marco;Mar-Nog/Nog;;;;5.8;;;0;9.0;0;0;;;0;QR-564.002.158;Material importado;Euro-Design 60;unidad;9.0;0;;
12;564.002.129;Marco 64 Euro-Design 60 Bco-Bco/Nog Pres. 5,8 m.;Marco;Bco-Bco/Nog;;;;5.8;;;0;;0;0;;;0;QR-564.002.129;Material importado;Euro-Design 60;unidad;;0;;
13;564.002.128;Marco 64 Euro-Design 60 Bco-Nog/Bco Pres. 5,8 m.;Marco;Bco-Nog/Bco;;;;5.8;;;0;;0;0;;;0;QR-564.002.128;Material importado;Euro-Design 60;unidad;;0;;
14;564.002.161;Marco 64 Euro-Design 60 Mar-Win/Win Pres. 5,8 m.;Marco;Mar-Win/Win;;;;5.8;;;0;;0;0;;;0;QR-564.002.161;Material importado;Euro-Design 60;unidad;;0;;
15;564.002.124;Marco 64 Euro-Design 60 Bco-Bco/Win Pres. 5,8 m.;Marco;Bco-Bco/Win;;;;5.8;;;0;;0;0;;;0;QR-564.002.124;Material importado;Euro-Design 60;unidad;;0;;
16;564.002.122;Marco 64 Euro-Design 60 Bco-Win/Bco Pres. 5,8 m.;Marco;Bco-Win/Bco;;;;5.8;;;0;;0;0;;;0;QR-564.002.122;Material importado;Euro-Design 60;unidad;;0;;
17;564.002.154;Marco 64 Euro-Design 60 Mar-Mon/Mon Pres. 5,8 m.;Marco;Mar-Mon/Mon;;;;5.8;;;0;;0;0;;;0;QR-564.002.154;Material importado;Euro-Design 60;unidad;;0;;
18;564.002.080;Marco 64 Euro-Design 60 Bco-Bco/Mon Pres. 5,8 m.;Marco;Bco-Bco/Mon;;;;5.8;;;0;;0;0;;;0;QR-564.002.080;Material importado;Euro-Design 60;unidad;;0;;
